toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2,toi_created,rowupdate
1023.01,238374636,FP,08h03m21.05s,120.837688,-51d20m44.25s,-51.345626,-23.366,0.042,-0.042,22.652,0.04,-0.04,2459303.304,0.003015,-0.003015,1.3214483,2.31e-05,-2.31e-05,3.435,0.071,-0.071,2180.0,137.946,-137.946,21.8839,4.01475,-4.01475,35623.2,3827.0,9.697,0.006,-0.006,316.398,2.247,-2.247,5050.8,86.8,-86.8,3.56,0.4,-0.4,2.99,0.15,-0.15,24/07/2019 18:44,07/12/2021 16:02
1026.01,388624270,FP,08h21m44.31s,125.434634,-51d45m33.99s,-51.759442,47.228,0.047,-0.047,-6.325,0.039,-0.039,2460720.808,0.00363,-0.00363,14.2628757,3.85e-05,-3.85e-05,6.9350494,0.466316,-0.466316,913.2067174,37.2772746,-37.2772746,2.4765813,0.1510812,-0.1510812,153.2069421,980.3628831,9.9138,0.006,-0.006,105.677,0.2575,-0.2575,5690.0,129.0,-129.0,4.58,0.08,-0.08,0.853898,0.0413895,-0.0413895,11/06/2019 14:45,02/09/2025 16:00
1027.01,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,0.073,-0.073,12.992,0.057,-0.057,2460037.869,0.001406,-0.001406,3.2834565,4.6e-06,-4.6e-06,1.537,0.709,-0.709,1558.0,185.42,-185.42,2.87648,0.314177,-0.314177,161.092,992.0,10.2103,0.006,-0.006,56.3449,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.11,-0.11,0.68,0.06,-0.06,24/07/2019 18:44,05/06/2023 12:03
1027.02,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,0.073,-0.073,12.992,0.057,-0.057,2460032.533,0.002913,-0.002913,11.02875,3.54e-05,-3.54e-05,2.715,0.404,-0.404,1694.0,104.432,-104.432,2.76586,0.268927,-0.268927,15.0463,548.0,10.2103,0.006,-0.006,56.3449,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.11,-0.11,0.68,0.06,-0.06,03/06/2021 22:37,01/09/2024 12:02
1027.03,20318757,PC,11h08m31.99s,167.133275,-29d39m11.29s,-29.653135,-87.554,0.073,-0.073,12.992,0.057,-0.057,2460032.573,0.002567,-0.002567,5.0113292,1.2e-05,-1.2e-05,1.024,0.471,-0.471,1210.0,182.035,-182.035,2.52314,0.302798,-0.302798,17.1793,567.0,10.2103,0.006,-0.006,56.3449,0.13245,-0.13245,4272.0,122.7,-122.7,4.6,0.11,-0.11,0.68,0.06,-0.06,18/05/2023 23:08,05/06/2023 12:03
1028.01,447283466,FP,10h28m23.6s,157.098337,-51d42m19.47s,-51.705409,30.65,0.054,-0.054,-33.906,0.056,-0.056,2458544.481,0.00412,-0.00412,1.01606,0.00034,-0.00034,2.843,0.278,-0.278,240.0,0.375709,-0.375709,1.20704,0.0989898,-0.0989898,2784.04,2023.0,7.9059,0.006,-0.006,23.7748,0.02025,-0.02025,4634.0,120.9,-120.9,4.64,0.09,-0.09,0.68,0.05,-0.05,24/07/2019 18:44,29/10/2021 12:59
1030.01,464296022,FP,10h23m19.55s,155.831478,-57d35m24.89s,-57.590248,-26.184,2.184,-2.184,22.489,1.073,-1.073,2460054.784,0.000628,-0.000628,12.1246519,1.03e-05,-1.03e-05,4.612,0.667,-0.667,7279.0,6484.95,-6484.95,17.6729,2.59688,-2.59688,207.32,1057.0,9.5706,0.006,-0.006,78.41273,2.83992,-2.83992,4807.6,60.0,-60.0,4.17,0.36,-0.36,1.07,0.03,-0.03,24/07/2019 18:44,31/05/2023 10:10
1031.01,304021498,FP,09h23m32.13s,140.88389,-67d01m33.62s,-67.026006,-23.901,0.042,-0.042,3.03,0.047,-0.047,2459304.838,0.002852,-0.002852,5.652623,2.54e-05,-2.54e-05,3.434,0.475,-0.475,1250.0,26.0133,-26.0133,8.94354,1.13988,-1.13988,2717.06,2011.0,9.7318,0.006,-0.006,270.771,1.6275,-1.6275,6415.4,103.2,-103.2,3.98,0.08,-0.08,1.92,0.08,-0.08,25/06/2019 15:58,19/09/2024 10:08
1032.01,146589986,PC,10h36m53.16s,159.221506,-42d32m29.9s,-42.541639,-15.15,0.072,-0.072,6.437,0.087,-0.087,2459283.829,0.000897,-0.000897,5.6643704,1.09e-05,-1.09e-05,3.8087395,0.0887935,-0.0887935,3491.823297,95.25267,-95.25267,14.7738943,0.7471176,-0.7471176,7657.662151,2385.853649,9.7611,0.006,-0.006,587.196,18.7865,-18.7865,10395.0,320.6,-320.6,4.13,0.07,-0.07,2.3383701,0.109357,-0.109357,24/07/2019 18:44,17/01/2024 10:08
1034.01,400595342,FP,08h57m46.02s,134.441752,-49d00m02.08s,-49.000578,-4.837,0.063,-0.063,4.109,0.062,-0.062,2460768.617,0.002617,-0.002617,3.6404389,8.2e-06,-8.2e-06,2.5339234,0.5744699,-0.5744699,476.3077321,35.1115139,-35.1115139,3.7025342,0.1738907,-0.1738907,9941.226551,2783.098027,9.8174,0.006,-0.006,363.44,4.983,-4.983,9810.0,173.7,-173.7,4.43,0.06,-0.06,1.60776,0.0427739,-0.0427739,24/07/2019 18:44,05/09/2025 10:08
1035.01,361413119,PC,09h36m36.07s,144.150273,-61d34m59.46s,-61.583182,-9.506,0.239,-0.239,16.897,0.207,-0.207,2459286.873,0.000437,-0.000437,6.0744477,5.9e-06,-5.9e-06,2.4954821,0.0518881,-0.0518881,5982.521241,93.93912,-93.93912,30.9493217,11.697444,-11.697444,1487.564434,1583.93989,10.1126,0.006,-0.006,347.556,13.63,-13.63,5964.0,128.4,-128.4,3.7,0.09,-0.09,2.4303801,0.151568,-0.151568,24/07/2019 18:44,09/07/2025 16:00
1036.01,146172354,PC,10h31m28.11s,157.867112,-42d14m25.61s,-42.240448,10.992,0.037,-0.037,-57.748,0.049,-0.049,2460037.172,0.001095,-0.001095,3.7795212,4e-06,-4e-06,2.952,0.158,-0.158,2761.0,60.2474,-60.2474,5.98375,0.311897,-0.311897,466.528,1294.0,10.2855,0.006,-0.006,184.015,0.962,-0.962,5771.0,132.3,-132.3,4.31,0.08,-0.08,1.18,0.06,-0.06,24/07/2019 18:44,05/05/2023 16:02
1037.01,363260203,FP,09h49m32.44s,147.385172,-63d18m23.32s,-63.306478,-19.687,0.07,-0.07,10.953,0.068,-0.068,2459331.125,0.003174,-0.003174,1.2025238,6.7e-06,-6.7e-06,1.991,0.052,-0.052,390.0,107.57,-107.57,6.31106,1.99504,-1.99504,208477.0,5952.0,9.0211,0.006,-0.006,279.698,3.279,-3.279,9158.0,171.4,-171.4,4.32,0.07,-0.07,1.74,0.05,-0.05,24/07/2019 18:44,07/09/2024 10:08
1041.01,385624852,FP,09h13m36.54s,138.402252,-55d11m52.48s,-55.19791,-14.189,0.065,-0.065,14.261,0.058,-0.058,2459261.801,0.0004,-0.0004,8.30792,0.00037,-0.00037,3.228,0.089,-0.089,8350.0,160.238,-160.238,43.1068,4.42399,-4.42399,2276.25,1924.0,8.0981,0.006,-0.006,305.034,2.981,-2.981,9081.0,173.2,-173.2,3.83,0.07,-0.07,3.05,0.09,-0.09,24/07/2019 18:44,29/10/2021 12:59
1042.01,360286627,PC,09h27m54.05s,141.975215,-61d19m48.14s,-61.33004,-11.595,0.056,-0.056,3.139,0.057,-0.057,2459281.338,0.001287,-0.001287,0.758082,7.3e-06,-7.3e-06,1.8184632,0.1306038,-0.1306038,583.93181,58.10249,-58.10249,10.1273702,0.6658212,-0.6658212,216218.1005,5499.747633,9.718,0.006,-0.006,792.633,19.4965,-19.4965,9917.0,199.6,-199.6,3.75,0.06,-0.06,3.5086601,0.120121,-0.120121,24/07/2019 18:44,09/07/2025 16:00
1043.01,90448944,FP,08h33m12.56s,128.302319,-52d42m51.13s,-52.714202,-9.496,0.051,-0.051,14.659,0.045,-0.045,2459985.77,0.003745,-0.003745,1.4415577,7.4e-06,-7.4e-06,2.349,0.682,-0.682,507.0,54.9645,-54.9645,3.61078,0.26004,-0.26004,16861.8,3174.0,9.5719,0.006,-0.006,208.055,1.1015,-1.1015,6902.0,135.7,-135.7,4.25,0.09,-0.09,1.52,0.06,-0.06,24/07/2019 18:44,09/09/2024 10:08
1045.01,54044474,FP,10h39m33.05s,159.887704,-32d30m42.77s,-32.51188,-34.609,0.053,-0.053,14.667,0.057,-0.057,2459301.544,0.000611,-0.000611,3.7039994,3.7e-06,-3.7e-06,4.277,0.599,-0.599,7590.0,1.22092,-1.22092,17.57,0.746573,-0.746573,3546.13,2149.0,9.6306,0.006,-0.006,300.696,3.3695,-3.3695,7013.8,299.6,-299.6,4.21,0.44,-0.44,1.9,0.08,-0.08,24/07/2019 18:44,07/12/2021 16:02
1046.01,309787037,FP,08h25m40.67s,126.419468,-60d54m27.05s,-60.907514,-1.536,0.058,-0.058,-9.979,0.048,-0.048,2460177.867,0.001123,-0.001123,1.3042553,2e-06,-2e-06,1.706,0.213,-0.213,914.0,628.954,-628.954,9.36472,1.30647,-1.30647,26944.7,3569.0,10.0119,0.006,-0.006,301.298,2.496,-2.496,6762.0,130.2,-130.2,4.11,0.08,-0.08,1.75,0.07,-0.07,24/07/2019 18:44,19/09/2024 10:08
1047.01,370745311,FP,09h38m19.57s,144.581535,-67d30m18.35s,-67.505097,-35.412,0.104,-0.104,24.084,0.128,-0.128,2458544.791,0.00092,-0.00092,0.62627,2e-05,-2e-05,0.666,0.169,-0.169,1880.0,68.5212,-68.5212,5.72162,0.894462,-0.894462,3235.57,2101.0,10.2355,0.006,-0.006,134.926,1.0555,-1.0555,5622.0,131.2,-131.2,4.5,0.07,-0.07,0.93,0.05,-0.05,24/07/2019 18:44,29/10/2021 12:59
