st_teff,dec,pl_rade,pl_eqt,type,Status,pl_insol,st_rad,st_tmag,pl_orbper,ra,st_logg
6650.0,-28.061794,21.2315,1670.0,TESS,KP,1292.19,1.57,11.0261,3.7354838,239.962248,4.1639
5625.0,-71.462749,2.3751494,685.2,TESS,FA,52.095,1.56486,7.1278,21.701669,40.365939,4.438
5958.2,-75.646561,3.0629855,1006.993283,TESS,CP,243.011763,1.58,9.0197,9.139804,337.510274,4.34
5664.0,-33.351416,13.088532,,TESS,FP,,3.86959,8.8849,5.742625,290.977117,3.26574
6122.0,-54.317501,2.43432,853.0,TESS,CP,88.0718,1.17,8.4362,15.5077855,302.114174,4.30881
5783.54,-54.532728,3.5766828,689.3568807,TESS,CP,53.3700317,0.974669,8.0888,17.4713078,293.286615,4.49925
6124.3,-76.917605,3.0486928,1263.986113,TESS,PC,603.2401116,1.36963,9.6663,5.3079507,339.258703,4.38
5599.0,-78.407564,2.9366826,466.7322968,TESS,PC,11.2148229,0.943356,9.4091,51.1701501,127.996917,4.46138
5785.0,-31.790813,12.8402271,1518.237249,TESS,PC,1255.681716,3.4475601,9.3781,11.1296441,288.911772,4.344
5509.0,-60.922727,17.0216,694.0,TESS,PC,38.5799,0.94,9.7825,9.4496506,269.714503,4.39758
6900.0,-64.027039,16.3869,1864.0,TESS,KP,2005.83,1.77,10.3157,2.8493825,68.959816,4.438
5687.9,-48.934476,3.89739,619.0,TESS,APC,24.409,1.14,9.6652,2.0685633,299.290995,4.6
5525.0,-41.242483,2.28501,,TESS,FP,,1.21935,9.7345,0.540933,284.688908,4.25342
5394.0,-78.023683,2.30057,826.0,TESS,CP,77.3573,0.89,9.478,4.1150576,38.120968,4.50942
5552.0,-83.056214,2.7272824,694.1792631,TESS,PC,54.8791715,0.791742,9.0689,10.0665238,230.555493,4.61783
4803.0,-47.56203,2.460344,712.2812841,TESS,CP,60.831305,0.737189,10.0059,6.4438657,296.003935,4.52079
